3 5
7 8
6 10
5 16
9 15
14 16
12 20
11 24
15 25
7 33
10 32
21 24
18 30
13 35
16 39 21 35
28 32
24 40
15 48
9 56
22 48
27 45
35 40
32 45
30 50
17 63
14 66
20 64
33 55
42 48
40 51
36 60
26 70
11 85 19 80 39 65 49 56
33 72
25 80
55 57
32 78 42 70
40 77
56 64
45 75
24 95
21 99
48 80
30 96
63 72
51 85
18 112
44 96
54 90
13 120
39 105
70 80
23 120 35 112 57 95 65 88
64 90
69 91
60 100
77 88
34 126
48 117 63 105
28 132
56 115
40 128
66 110
55 120
84 96
25 143
80 102
69 115
75 112
72 120
15 161 91 104
45 144
52 140
75 125
104 105
22 170 38 160 78 130 98 112
27 168
35 165
66 144
81 135
50 160
32 175
110 114
105 120
64 156 84 140
56 165
96 135
87 145
80 154
112 128
55 176
90 150
29 195
65 175
17 208 77 168 87 160 93 155
48 190
51 189
119 136
42 198
85 168
96 160
60 192
119 145
99 165
126 144
120 153
102 170
31 224
36 224
80 195 105 175
65 208 72 203 93 187 133 152
88 192
108 180
26 240
78 210
49 231 64 221 111 185 144 155
140 160
46 240 70 224 114 190 130 176
128 180
19 261
33 255 57 240 117 195 147 168
95 217
138 182
99 216
120 200
133 192
75 240
154 176
123 205
165 171
68 252
96 234 126 210
56 264
161 184
40 279 91 245 129 215 136 209
112 230
80 256
45 280
35 288
132 220
120 231
110 240
168 192
105 247
50 286
135 225
160 204
138 230
85 272
175 200
150 224
72 285
141 235
21 320
63 297
160 225
144 240
105 272
30 322 182 208
121 264
90 288
37 323 112 273 147 245
104 280
111 280
150 250
189 216
153 255
95 304 185 231
208 210
44 340 76 320 156 260 196 224
85 315
54 336
88 315
70 330
159 265
132 288
152 273
203 232
162 270
176 259
100 320
39 360
165 275
64 350
117 315
220 228
210 240
128 312 168 280
200 255
23 385
112 330
69 360 105 336 171 285 195 264
192 270
80 357 115 333 143 312 217 248
174 290
77 363
161 304
160 308
177 295
224 256
207 273
110 352
180 300
41 399
58 390
63 392 123 352 183 305 240 253
231 264
130 350
48 407
34 416 154 336 174 320 186 310
96 380
115 368
102 378
205 299
144 351 189 315
238 272
84 396
170 336
192 320
168 345
55 425 95 400 195 325 245 280
120 384
240 287
238 290
198 330
43 440
165 360
252 288
25 456 129 391 201 335 224 315
75 429
143 385
240 306
125 400
204 340
91 429 175 369 215 336 259 296
62 448
207 345
275 285
88 437
72 448
225 336
160 390 210 350
130 416 144 406 186 374 266 304
176 384
213 355
275 301
216 360
45 483 273 312
52 480
104 451 119 441 219 365 264 325
135 432
200 385
156 420
98 462 128 442 222 370 288 310
280 320
208 387
225 375
187 408
92 480 140 448 228 380 260 352
287 328
256 360
176 429 231 385
184 425
38 522
312 315
120 475
66 510 114 480 234 390 294 336
27 533
81 504
145 464
47 528 135 473 237 395 280 357
190 434
105 495
276 364
198 432
141 475 169 455 189 440 301 344
240 400
266 384
243 405
150 480
235 416
308 352
246 410
297 368
96 525
249 415
330 342
136 504
315 360
192 468 252 420
56 559 155 496 209 456 329 351
112 528
255 425
168 495
322 368
49 575
80 558 182 490 258 430 272 418
288 405
224 460
147 520
160 512
261 435
90 560
329 376
280 423
70 576
264 440
240 462
245 459
220 480
267 445
336 384
210 494
165 528
100 572
119 561
270 450
29 616
320 408
87 585
65 600
77 595 133 560 145 552 200 513 208 507 273 455 343 392
203 517
276 460
195 525
170 544
350 400
51 624 231 504 261 480 279 465
300 448
144 570
153 567
282 470
319 441
42 640
357 408
115 600 175 560 285 475 325 440
126 594
255 504
320 450
99 616
288 480
377 400
210 544
60 644 364 416
104 621 120 611 291 485 385 399
242 528
180 576
74 646 224 546 294 490
357 435
208 560
371 424
240 539
297 495
345 455
222 560
300 500
378 432
53 675 133 627 185 592 312 493
303 505
159 616
360 459
253 552
306 510
385 440
31 705 265 551 280 539 309 515
190 608 370 462
93 672
416 420
